,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
0,,0,0,0,0,1,0,1,0
1,AT1G01010,0,0,1,1,0,0,1,1
2,AT1G01030,0,0,0,1,0,0,0,0
3,AT1G01120,0,0,0,1,0,0,0,0
4,AT1G01130,0,0,0,1,0,0,0,0
5,AT1G01180,0,0,0,1,0,0,0,0
6,AT1G01340,1,0,1,1,0,1,1,1
7,AT1G01390,0,0,0,1,0,0,0,0
8,AT1G01480,1,0,1,1,0,1,0,1
9,AT1G01490,0,0,0,1,0,0,0,0
10,AT1G01560,1,1,1,1,0,1,1,1
11,AT1G01590,0,0,0,0,0,1,0,0
12,AT1G01720,0,0,1,1,0,1,1,1
13,AT1G01730,0,0,0,1,0,0,0,0
14,AT1G01940,0,0,0,0,0,1,0,0
15,AT1G02030,0,0,1,1,0,1,0,0
16,AT1G02065,0,0,0,0,0,1,0,0
17,AT1G02120,0,0,1,1,0,1,0,1
18,AT1G02170,0,0,0,1,0,1,0,1
19,AT1G02220,0,0,1,1,0,1,1,1
20,AT1G02230,0,0,1,1,0,1,1,1
21,AT1G02310,0,0,0,0,0,0,0,1
22,AT1G02360,0,0,1,1,0,1,1,1
23,AT1G02400,1,0,1,1,0,1,1,1
24,AT1G02405,0,0,0,1,0,0,0,0
25,AT1G02410,0,0,0,1,0,0,0,0
26,AT1G02430,0,0,0,1,0,0,0,0
27,AT1G02440,1,0,1,1,0,0,0,0
28,AT1G02450,1,0,1,1,0,1,1,1
29,AT1G02460,0,0,0,1,0,0,0,1
30,AT1G02470,0,0,0,0,0,0,1,0
31,AT1G02500,0,0,0,1,0,1,0,1
32,AT1G02520,0,0,0,1,0,0,0,0
33,AT1G02530,0,0,0,0,0,1,0,0
34,AT1G02580,0,0,0,0,0,1,0,0
35,AT1G02850,1,1,1,1,0,1,1,1
36,AT1G02880,0,0,0,0,0,1,0,0
37,AT1G02900,0,0,0,1,0,0,0,0
38,AT1G02920,1,1,1,1,0,1,1,1
39,AT1G02930,1,1,1,1,0,1,1,1
40,AT1G02940,1,0,1,1,0,1,1,1
41,AT1G02950,0,0,0,0,0,1,0,0
42,AT1G02980,0,0,0,1,0,0,0,1
43,AT1G03010,0,1,0,0,0,0,0,0
44,AT1G03060,0,0,0,1,0,0,0,0
45,AT1G03070,0,0,0,0,0,1,0,0
46,AT1G03170,1,0,0,0,0,1,0,0
47,AT1G03220,0,0,0,1,0,1,0,1
48,AT1G03230,0,0,0,1,0,1,1,1
49,AT1G03260,0,0,0,0,0,1,0,0
50,AT1G03290,0,0,1,1,0,1,1,1
51,AT1G03370,0,0,1,1,0,1,0,1
52,AT1G03400,0,0,1,0,0,0,0,1
53,AT1G03590,0,0,0,1,0,0,0,0
54,AT1G03730,0,0,0,1,0,0,0,0
55,AT1G03740,0,0,0,1,0,1,0,1
56,AT1G03800,0,0,0,0,0,0,0,1
57,AT1G03850,0,0,0,0,0,1,0,0
58,AT1G03900,0,0,0,1,0,0,0,0
59,AT1G03905,0,0,1,1,0,1,1,1
60,AT1G03950,0,0,0,1,0,0,0,0
61,AT1G04010,0,0,0,0,0,1,0,0
62,AT1G04100,0,0,1,1,0,1,0,1
63,AT1G04120,0,0,0,1,0,0,0,0
64,AT1G04150,0,0,0,0,0,1,0,0
65,AT1G04280,0,0,0,0,0,1,0,0
66,AT1G04360,0,0,0,1,0,1,0,0
67,AT1G04370,0,1,1,1,0,0,0,1
68,AT1G04380,0,0,0,0,0,0,0,1
69,AT1G04490,0,0,0,0,0,1,0,1
70,AT1G04570,0,0,1,1,0,0,0,0
71,AT1G04600,0,0,0,0,0,1,0,0
72,AT1G04645,0,0,0,0,0,1,0,0
73,AT1G04750,0,0,0,0,0,1,0,0
74,AT1G04770,0,0,0,1,0,1,0,0
75,AT1G04780,0,0,0,1,0,0,0,0
76,AT1G04980,1,1,1,1,0,1,1,1
77,AT1G05000,0,0,1,1,0,1,0,1
78,AT1G05010,0,0,1,1,0,1,1,1
79,AT1G05020,0,0,0,0,0,1,0,0
80,AT1G05060,0,0,0,0,0,1,0,0
81,AT1G05135,0,0,0,1,0,0,0,0
82,AT1G05170,0,0,0,1,0,1,0,1
83,AT1G05300,0,0,1,1,0,0,0,0
84,AT1G05340,0,0,0,1,0,1,1,1
85,AT1G05350,0,0,0,1,0,0,0,0
86,AT1G05400,0,0,0,0,0,1,0,0
87,AT1G05450,0,0,0,1,0,1,0,0
88,AT1G05510,0,0,0,0,0,1,0,0
89,AT1G05530,0,0,0,0,0,1,0,0
90,AT1G05560,1,1,0,1,0,1,1,1
91,AT1G05575,0,0,0,1,0,1,0,1
92,AT1G05577,0,0,0,0,0,1,0,0
