,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
126,AT1G59910,0,0,0,1,0,0,1,1
127,AT1G60500,0,0,0,0,0,1,0,0
128,AT1G60750,0,0,0,0,0,1,0,0
129,AT1G61290,0,0,0,0,0,0,1,0
130,AT1G61340,0,0,1,1,0,0,1,1
131,AT1G61470,0,0,1,1,0,0,1,1
132,AT1G63245,0,0,0,0,0,0,1,1
133,AT1G63720,0,0,1,0,0,0,1,1
134,AT1G63820,0,0,0,0,0,0,1,0
135,AT1G64065,0,0,1,1,0,0,1,1
136,AT1G64380,0,0,0,1,0,0,1,0
137,AT1G64610,0,0,0,0,0,0,1,0
138,AT1G65385,0,0,1,0,0,0,0,0
139,AT1G65390,0,0,1,1,0,0,1,1
140,AT1G65510,0,0,1,0,0,0,1,0
141,AT1G66090,0,0,1,1,0,0,1,1
142,AT1G66160,0,0,1,1,0,0,1,1
143,AT1G66170,0,0,0,1,0,0,1,0
144,AT1G66173,0,0,0,0,0,0,1,0
145,AT1G66400,0,1,1,1,0,1,1,1
146,AT1G66500,0,0,1,1,0,0,1,1
147,AT1G66780,0,0,0,0,0,1,0,0
148,AT1G67220,0,0,0,0,0,1,0,0
149,AT1G67470,0,0,1,1,0,0,1,1
150,AT1G67880,0,0,1,1,0,0,1,0
151,AT1G68765,0,0,1,1,0,0,0,0
152,AT1G68840,0,0,1,1,0,0,1,1
153,AT1G69890,0,0,1,1,0,0,1,1
154,AT1G69900,0,0,1,1,0,0,1,0
155,AT1G70170,0,0,0,0,0,0,1,1
156,AT1G70420,0,0,1,1,0,0,1,1
157,AT1G70581,0,0,0,0,0,0,0,1
158,AT1G70740,0,0,1,0,0,0,1,0
159,AT1G71400,0,0,0,0,0,0,1,1
160,AT1G72240,0,0,0,0,0,0,1,0
161,AT1G72520,0,0,1,1,0,0,1,1
162,AT1G72900,0,0,1,1,0,0,1,0
163,AT1G72910,0,0,1,1,0,1,1,1
164,AT1G72920,0,1,1,1,0,1,1,1
165,AT1G72930,0,0,1,0,0,0,1,0
166,AT1G72940,0,0,1,1,0,0,1,1
167,AT1G72950,0,0,1,1,0,0,1,1
168,AT1G73500,0,0,1,1,0,0,1,1
169,AT1G73540,0,0,0,1,0,1,1,1
170,AT1G73550,0,0,1,1,0,0,1,0
171,AT1G73805,0,0,1,0,0,0,1,0
172,AT1G74450,0,0,1,1,0,0,1,0
173,AT1G74650,0,0,1,0,0,0,0,0
174,AT1G74930,0,0,1,1,0,0,1,1
175,AT1G75000,0,0,0,0,0,0,1,0
176,AT1G75920,0,0,0,0,0,1,0,0
177,AT1G76070,0,0,0,1,0,0,1,1
178,AT1G76600,0,0,1,1,0,0,1,1
179,AT1G76640,0,0,0,0,0,0,1,0
180,AT1G76650,0,0,1,1,0,0,1,1
181,AT1G77640,0,0,1,1,0,0,1,1
182,AT1G78410,0,1,1,1,0,0,1,1
183,AT1G79360,0,0,0,0,0,0,0,1
184,AT1G79680,0,0,1,1,0,0,1,1
185,AT1G80840,0,1,1,1,0,1,1,1
186,AT2G01008,0,0,0,0,0,1,0,0
187,AT2G01180,0,0,1,1,0,0,1,1
188,AT2G01300,0,0,1,0,0,0,1,0
189,AT2G04495,0,0,1,1,0,0,1,0
190,AT2G04500,0,0,0,1,0,0,1,1
191,AT2G04515,0,0,0,1,0,0,0,0
192,AT2G05050,0,0,0,0,0,0,1,0
193,AT2G05940,0,0,1,1,0,0,1,0
194,AT2G07669,0,0,0,0,0,1,0,0
195,AT2G07670,0,0,0,0,0,1,0,0
196,AT2G07673,0,0,0,0,0,1,0,0
197,AT2G07681,0,0,0,0,0,1,0,0
198,AT2G07691,0,0,0,0,0,1,0,0
199,AT2G07692,0,0,0,0,0,1,0,0
200,AT2G07702,0,0,0,0,0,1,0,0
201,AT2G07738,0,0,0,0,0,1,0,0
202,AT2G07749,0,0,0,0,0,1,0,0
203,AT2G07795,0,0,0,0,0,1,0,0
204,AT2G07806,0,0,0,0,0,1,0,0
205,AT2G07813,0,0,0,0,0,1,0,0
206,AT2G07981,0,0,0,0,0,1,0,0
207,AT2G08986,0,0,0,0,0,1,0,0
208,AT2G14920,0,0,0,0,0,1,0,0
209,AT2G15390,0,0,1,1,0,0,1,0
210,AT2G17040,0,0,1,1,0,0,1,0
211,AT2G18210,0,1,1,1,0,0,1,1
212,AT2G18690,0,0,0,0,0,0,1,1
213,AT2G20142,0,0,1,0,0,0,1,0
214,AT2G20150,0,0,1,0,0,0,1,0
215,AT2G20562,0,0,0,1,0,0,1,0
216,AT2G21900,0,0,0,0,0,0,1,0
217,AT2G22500,0,0,1,1,0,0,1,1
218,AT2G22880,0,1,1,1,0,0,1,1
219,AT2G22890,0,0,0,0,0,0,1,0
220,AT2G23270,0,0,0,0,0,0,1,1
221,AT2G23320,0,0,1,1,0,0,1,0
222,AT2G23810,0,0,1,1,0,0,1,1
223,AT2G24600,0,0,1,1,0,0,1,1
224,AT2G25460,0,0,0,1,0,0,1,1
225,AT2G25735,0,1,1,1,0,0,1,1
226,AT2G26190,0,0,1,1,0,0,1,1
227,AT2G26520,0,0,0,0,0,0,0,1
228,AT2G26530,0,1,1,1,0,1,1,1
229,AT2G27080,0,0,1,1,0,0,1,0
230,AT2G27120,0,0,0,0,0,1,0,0
231,AT2G27310,0,0,0,0,0,0,1,0
232,AT2G27389,0,0,0,0,0,0,1,0
233,AT2G27500,0,0,1,0,0,0,1,0
234,AT2G27650,0,0,0,0,0,1,0,0
235,AT2G27660,0,0,1,1,0,0,1,1
236,AT2G27830,0,0,1,1,0,0,1,1
237,AT2G28400,0,0,1,1,0,0,1,0
238,AT2G28500,0,0,1,1,0,0,1,1
239,AT2G29270,0,0,0,1,0,0,0,0
240,AT2G30020,0,1,1,1,0,0,1,1
241,AT2G30040,0,0,1,1,0,0,1,1
242,AT2G30230,0,0,0,1,0,0,0,0
243,AT2G31100,0,0,0,0,0,0,1,0
244,AT2G31210,0,0,0,0,0,1,0,0
245,AT2G31880,0,0,1,1,0,0,1,1
246,AT2G31945,0,0,1,1,0,0,1,1
247,AT2G32020,0,0,0,1,0,0,1,1
248,AT2G32030,0,1,1,1,0,1,1,1
249,AT2G32140,0,0,1,1,0,0,1,1
250,AT2G32190,0,0,1,0,0,0,1,0
251,AT2G32200,0,0,1,1,0,0,1,1
252,AT2G32210,0,0,1,1,0,0,1,1
253,AT2G32660,0,0,1,0,0,0,1,0
254,AT2G33580,0,0,1,1,0,0,1,1
255,AT2G33710,0,0,0,0,0,0,1,0
256,AT2G34650,0,0,0,0,0,0,1,1
257,AT2G35658,0,0,0,1,0,0,1,1
258,AT2G35710,0,0,0,0,0,0,1,1
