,0,3OH10,chitooctaose,eATP,self,sflg,sIF1,smock,snlp,sOGs,spep,sPGN
11351,AT5G49830,0,0,0,1,1,0,0,1,0,1,0
11352,AT5G49850,0,0,0,0,0,0,0,0,1,1,0
11353,AT5G49880,0,0,0,1,0,0,0,1,0,1,0
11354,AT5G49890,0,0,0,1,1,0,0,0,0,1,0
11355,AT5G49900,0,0,0,1,1,0,0,0,1,1,0
11356,AT5G49910,0,0,0,1,0,0,0,1,0,1,0
11357,AT5G49930,0,0,0,1,1,0,0,0,0,1,0
11358,AT5G49945,0,0,0,1,0,0,0,0,0,0,0
11359,AT5G49950,0,0,0,1,1,0,0,1,0,1,0
11360,AT5G49960,0,0,0,1,0,0,0,0,0,0,0
11361,AT5G50020,0,0,0,1,0,0,0,0,0,0,0
11362,AT5G50090,0,0,0,0,0,0,0,0,0,0,1
11363,AT5G50100,0,0,0,1,0,0,0,0,0,0,0
11364,AT5G50130,0,0,0,1,0,0,0,0,0,1,1
11365,AT5G50160,0,0,0,1,0,0,0,0,0,1,1
11366,AT5G50200,1,0,0,1,1,0,0,1,1,1,0
11367,AT5G50210,0,0,0,1,1,0,0,1,1,1,0
11368,AT5G50230,0,0,0,1,0,0,0,1,0,1,0
11369,AT5G50300,0,0,0,1,0,0,0,0,0,1,0
11370,AT5G50310,0,0,0,1,0,0,0,0,0,0,0
11371,AT5G50320,0,0,0,1,0,0,0,0,0,0,0
11372,AT5G50335,0,0,0,1,0,0,0,0,1,0,0
11373,AT5G50350,0,0,0,1,1,0,0,1,0,1,0
11374,AT5G50380,0,0,0,1,1,0,0,1,0,1,0
11375,AT5G50390,0,0,0,1,0,0,0,0,0,0,0
11376,AT5G50420,0,0,0,1,0,0,0,0,0,0,0
11377,AT5G50430,0,0,0,1,1,0,0,1,1,1,0
11378,AT5G50440,0,0,0,1,1,0,0,1,1,0,0
11379,AT5G50450,0,0,0,1,0,0,0,0,0,0,0
11380,AT5G50460,0,0,0,1,1,0,0,1,1,0,0
11381,AT5G50520,0,0,0,1,1,0,0,1,0,1,0
11382,AT5G50530,0,0,0,0,1,0,0,0,0,1,0
11383,AT5G50550,0,0,0,1,0,0,0,0,0,0,0
