,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
0,,0,0,0,0,1,0,1,0
1,AT1G01010,0,0,1,1,0,1,1,1
2,AT1G01120,0,0,1,1,0,0,0,1
3,AT1G01180,0,0,0,1,0,1,0,0
4,AT1G01260,0,0,0,1,0,0,0,1
5,AT1G01340,1,1,1,1,0,1,1,1
6,AT1G01350,0,0,0,1,0,0,0,0
7,AT1G01440,0,0,0,1,0,0,0,0
8,AT1G01480,0,0,1,1,0,1,1,1
9,AT1G01550,0,0,1,1,0,1,0,0
10,AT1G01560,1,1,1,1,0,1,1,1
11,AT1G01680,0,0,0,1,0,0,0,0
12,AT1G01720,0,0,1,1,0,0,1,0
13,AT1G01725,0,0,0,0,0,1,0,0
14,AT1G01730,0,0,1,0,0,0,0,0
15,AT1G01940,0,0,0,0,0,1,0,0
16,AT1G02030,0,0,1,0,0,1,0,0
17,AT1G02065,0,0,1,0,0,0,0,0
18,AT1G02120,0,0,1,1,0,1,0,1
19,AT1G02170,0,0,1,1,0,1,1,1
20,AT1G02190,0,0,0,1,0,0,0,0
21,AT1G02360,1,1,1,1,0,1,1,1
22,AT1G02400,0,1,1,1,0,1,1,1
23,AT1G02405,0,0,1,1,0,1,0,0
24,AT1G02410,0,0,0,0,0,1,0,0
25,AT1G02440,1,1,1,1,0,0,0,0
26,AT1G02450,0,0,1,1,0,0,1,0
27,AT1G02500,0,0,0,1,0,0,0,0
28,AT1G02520,0,0,0,1,0,0,0,0
29,AT1G02660,0,0,0,1,0,0,0,0
30,AT1G02850,1,1,0,0,0,0,1,0
31,AT1G02860,0,0,0,1,0,0,0,0
32,AT1G02880,0,0,1,1,0,1,1,1
33,AT1G02900,0,0,1,0,0,0,0,1
34,AT1G02920,1,1,1,1,0,1,1,1
35,AT1G02930,1,1,1,1,0,1,1,1
36,AT1G02940,1,0,1,1,0,1,1,1
37,AT1G02980,0,0,0,0,0,1,0,0
38,AT1G02990,0,0,0,1,0,0,0,0
39,AT1G03010,0,1,0,0,0,0,0,0
40,AT1G03060,0,0,0,1,0,0,0,0
41,AT1G03080,0,0,0,1,0,1,0,1
42,AT1G03170,0,0,0,0,0,1,0,0
43,AT1G03220,0,0,1,1,0,1,1,1
44,AT1G03230,1,0,1,1,0,1,1,1
45,AT1G03290,0,0,1,1,0,1,1,1
46,AT1G03350,0,0,0,1,0,0,0,0
47,AT1G03370,1,0,1,1,0,1,1,1
48,AT1G03400,0,1,1,0,0,0,0,1
49,AT1G03430,0,0,1,1,0,1,0,1
50,AT1G03590,0,0,1,1,0,0,0,1
51,AT1G03610,0,0,0,1,0,0,0,0
52,AT1G03700,0,0,0,0,0,1,0,0
53,AT1G03730,0,0,1,1,0,0,1,1
54,AT1G03740,0,0,1,1,0,1,1,1
55,AT1G03750,0,0,1,0,0,0,0,0
56,AT1G03905,0,1,1,1,0,1,1,1
57,AT1G04090,0,0,1,1,0,0,0,0
58,AT1G04100,0,0,1,1,0,1,1,1
59,AT1G04120,0,0,0,1,0,0,0,0
60,AT1G04200,0,0,0,1,0,0,0,0
61,AT1G04220,0,0,1,0,0,0,0,1
62,AT1G04330,0,0,1,0,0,1,0,1
63,AT1G04360,0,0,0,1,0,0,0,1
64,AT1G04370,0,0,1,1,0,0,0,1
65,AT1G04380,0,0,1,1,0,1,0,1
66,AT1G04490,0,0,0,0,0,0,1,1
67,AT1G04500,0,0,0,0,0,1,0,1
68,AT1G04555,0,0,0,0,0,1,0,0
69,AT1G04570,1,1,1,0,0,0,1,0
70,AT1G04600,0,0,1,1,0,1,0,0
71,AT1G04645,0,0,0,1,0,1,1,0
72,AT1G04750,0,0,1,0,0,0,0,0
73,AT1G04770,1,1,1,1,0,1,1,0
74,AT1G04780,0,0,0,1,0,1,0,0
75,AT1G04980,0,0,1,0,0,0,0,1
76,AT1G04990,0,0,0,1,0,0,0,0
77,AT1G05000,0,0,1,1,0,1,0,0
78,AT1G05010,1,1,1,1,0,1,1,1
79,AT1G05020,0,0,0,1,0,1,1,1
80,AT1G05060,0,0,1,0,0,0,0,0
81,AT1G05061,0,1,0,1,0,0,0,0
82,AT1G05135,0,0,1,0,0,0,0,1
83,AT1G05170,0,1,1,1,0,1,0,1
84,AT1G05300,0,0,1,1,0,1,1,1
85,AT1G05340,0,0,1,1,0,1,1,1
86,AT1G05350,0,0,1,1,0,0,0,0
87,AT1G05370,0,0,1,1,0,0,0,0
88,AT1G05380,0,0,0,1,0,0,0,0
89,AT1G05420,0,1,0,0,0,0,0,0
90,AT1G05450,0,0,1,1,0,1,1,1
91,AT1G05560,0,0,0,0,0,1,1,0
92,AT1G05575,0,0,1,1,0,1,1,1
93,AT1G05577,0,0,0,0,0,0,1,0
94,AT1G05640,1,0,0,1,0,0,1,1
95,AT1G05670,0,0,0,1,0,0,1,0
96,AT1G05675,1,1,1,1,0,1,1,1
97,AT1G05680,0,0,1,1,0,1,1,0
98,AT1G05700,0,0,0,1,0,0,0,0
99,AT1G05710,0,0,1,0,0,1,0,1
100,AT1G05740,0,0,0,1,0,0,0,0
101,AT1G05880,0,1,1,1,0,0,1,1
102,AT1G05894,0,0,0,1,0,0,0,0
103,AT1G05960,0,0,0,1,0,0,0,0
104,AT1G06000,0,0,0,0,1,0,0,0
105,AT1G06050,0,0,0,1,0,1,0,0
106,AT1G06130,0,0,0,1,0,0,0,0
107,AT1G06135,0,0,1,0,0,1,1,0
108,AT1G06148,0,0,1,1,0,1,1,0
109,AT1G06160,0,0,1,0,0,1,0,1
