,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
0,,0,0,0,0,0,0,1,0
1,AT1G05560,0,0,0,1,0,0,0,0
2,AT1G14200,0,0,1,0,0,0,0,0
3,AT1G28685,0,0,0,1,0,0,0,0
4,AT1G49030,0,0,0,1,0,0,0,0
5,AT1G64780,0,0,0,1,0,0,0,0
6,AT1G67105,0,0,0,1,0,0,0,0
7,AT1G75280,0,0,0,1,0,0,0,0
8,AT2G34830,0,0,0,1,0,0,0,0
9,AT2G36090,0,0,0,0,0,0,1,0
10,AT2G47895,0,0,0,1,0,0,0,0
11,AT3G06390,0,0,0,1,0,0,0,0
12,AT3G17580,0,0,0,0,0,0,1,0
13,AT3G27940,0,0,0,1,0,0,0,0
14,AT3G29639,0,0,0,1,0,0,0,0
15,AT4G33330,0,0,0,1,0,0,0,0
16,AT4G35200,0,0,0,1,0,0,1,0
17,AT4G35210,0,0,0,1,0,0,0,0
18,AT4G38840,0,0,1,1,0,0,0,0
19,AT5G14340,0,0,0,1,0,0,0,0
20,AT5G26310,0,0,0,1,0,0,0,0
