,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
0,,0,0,0,0,0,0,1,0
1,AT1G05060,1,0,0,0,0,0,0,0
2,AT1G06930,0,0,0,0,0,0,0,1
3,AT1G07135,0,0,0,0,0,0,1,0
4,AT1G07610,1,0,0,0,0,0,0,0
5,AT1G10150,1,0,0,0,0,0,0,0
6,AT1G11850,1,0,0,0,0,0,0,0
7,AT1G13200,0,0,0,0,0,0,0,1
8,AT1G14890,1,0,0,0,0,0,0,0
9,AT1G18300,0,0,0,0,0,0,1,0
10,AT1G19050,1,0,0,0,0,0,0,0
11,AT1G19910,1,0,0,0,0,0,0,0
12,AT1G20600,1,0,0,0,0,0,0,0
13,AT1G20750,0,0,0,0,0,0,0,1
14,AT1G22065,1,0,0,0,0,0,0,0
15,AT1G27030,1,0,0,0,0,0,0,0
16,AT1G27730,0,0,0,1,0,0,1,1
17,AT1G28370,0,0,0,0,0,0,1,0
18,AT1G30370,0,0,0,0,0,0,1,1
19,AT1G35210,0,0,0,0,0,0,1,0
20,AT1G35240,0,0,0,0,0,0,0,1
21,AT1G40104,0,0,0,0,0,0,0,1
22,AT1G47271,1,0,0,0,0,0,0,0
23,AT1G47300,1,0,0,0,0,0,0,0
24,AT1G51400,1,0,0,0,0,0,0,0
25,AT1G52270,1,0,0,0,0,0,0,0
26,AT1G52440,0,0,0,0,0,0,0,1
27,AT1G52560,0,0,0,0,0,0,0,1
28,AT1G52827,1,0,0,0,0,0,0,0
29,AT1G55330,1,0,0,0,0,0,0,0
30,AT1G58160,1,0,0,0,0,0,0,0
31,AT1G58420,0,0,0,0,0,0,1,0
32,AT1G60190,0,0,0,0,0,0,0,1
33,AT1G60545,1,0,0,0,0,0,0,0
34,AT1G64290,0,0,0,0,0,0,0,1
35,AT1G65032,1,0,0,0,0,0,0,0
36,AT1G65630,0,0,0,0,0,0,0,1
37,AT1G66400,0,0,0,1,0,0,1,0
38,AT1G66500,0,0,0,0,0,0,1,0
39,AT1G67270,0,0,0,0,0,0,0,1
40,AT1G72610,1,0,0,0,0,0,0,0
41,AT1G72690,1,0,0,0,0,0,0,0
42,AT1G72920,0,0,0,0,0,0,1,0
43,AT1G73080,1,0,0,0,0,0,0,0
44,AT1G73190,1,0,0,0,0,0,0,0
45,AT1G73540,0,0,0,0,0,0,1,0
46,AT1G80740,0,0,0,0,0,0,0,1
47,AT1G80840,0,0,0,0,0,0,1,0
48,AT2G01008,0,0,0,0,0,0,0,1
49,AT2G04800,1,0,0,0,0,0,0,0
50,AT2G07667,0,0,0,0,0,0,0,1
51,AT2G07670,0,0,0,0,0,0,0,1
52,AT2G07678,0,0,0,0,0,0,0,1
53,AT2G07691,0,0,0,0,0,0,0,1
54,AT2G07692,0,0,0,0,0,0,0,1
55,AT2G07702,0,0,0,0,0,0,0,1
56,AT2G07706,0,0,0,0,0,0,0,1
57,AT2G07713,0,0,0,0,0,0,0,1
58,AT2G07714,0,0,0,0,0,0,0,1
59,AT2G07721,0,0,0,0,0,0,0,1
60,AT2G07728,0,0,0,0,0,0,0,1
61,AT2G07738,0,0,0,0,0,0,0,1
62,AT2G07749,0,0,0,0,0,0,0,1
63,AT2G07795,0,0,0,0,0,0,0,1
64,AT2G07798,0,0,0,0,0,0,0,1
65,AT2G07806,0,0,0,0,0,0,0,1
66,AT2G07820,0,0,0,0,0,0,0,1
67,AT2G07981,0,0,0,0,0,0,0,1
68,AT2G08986,0,0,0,0,0,0,0,1
69,AT2G16060,1,0,0,0,0,0,0,0
70,AT2G16385,1,0,0,0,0,0,0,0
71,AT2G17442,1,0,0,0,0,0,0,0
72,AT2G18323,0,0,0,0,0,0,0,1
73,AT2G19460,1,0,0,0,0,0,0,0
74,AT2G22880,0,0,0,0,0,0,1,0
75,AT2G23670,1,0,0,0,0,0,0,0
76,AT2G23672,1,0,0,0,0,0,0,0
77,AT2G24040,1,0,0,0,0,0,0,0
78,AT2G26530,0,0,0,0,0,0,1,0
79,AT2G27710,1,0,0,0,0,0,0,0
80,AT2G28870,1,0,0,0,0,0,0,0
81,AT2G29010,0,0,0,0,0,0,0,1
82,AT2G29995,1,0,0,0,0,0,0,0
83,AT2G30020,0,0,0,0,0,0,1,0
84,AT2G32680,1,0,0,0,0,0,0,0
85,AT2G32690,1,0,0,0,0,0,0,0
86,AT2G32780,0,0,0,0,0,0,0,1
87,AT2G37360,1,0,0,0,0,0,0,0
88,AT2G38465,1,0,0,0,0,0,0,0
89,AT2G40000,0,0,0,0,0,0,1,0
90,AT2G41905,1,0,0,0,0,0,0,0
91,AT2G46390,1,0,0,0,0,0,0,0
92,AT3G01200,1,0,0,0,0,0,0,0
93,AT3G04640,0,0,0,0,0,0,1,0
94,AT3G04700,1,0,0,0,0,0,0,0
95,AT3G06320,1,0,0,0,0,0,0,0
96,AT3G06680,1,0,0,0,0,0,0,0
97,AT3G07910,1,0,0,0,0,0,0,0
98,AT3G09870,0,0,0,0,0,0,1,0
99,AT3G10930,0,0,0,0,0,0,1,0
100,AT3G12587,1,0,0,0,0,0,0,0
101,AT3G13010,0,0,0,0,0,0,0,1
102,AT3G13520,1,0,0,0,0,0,0,0
103,AT3G14735,1,0,0,0,0,0,0,0
104,AT3G20470,1,0,0,0,0,0,0,0
105,AT3G20510,1,0,0,0,0,0,0,0
