,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
126,AT1G34330,0,0,0,0,0,0,0,1
127,AT1G34640,0,0,0,0,0,0,0,1
128,AT1G34844,0,0,0,1,0,0,0,0
129,AT1G35170,0,0,0,0,0,0,1,0
130,AT1G35180,0,0,0,0,0,0,1,0
131,AT1G35660,0,0,0,0,0,0,1,0
132,AT1G43020,0,0,0,1,0,0,0,1
133,AT1G43800,0,0,1,0,0,0,0,0
134,AT1G44446,0,0,1,0,0,0,1,0
135,AT1G44608,0,0,0,1,0,0,0,0
136,AT1G45616,1,0,1,1,0,1,1,1
137,AT1G46554,0,1,0,0,0,0,0,1
138,AT1G48670,0,0,0,1,0,0,1,1
139,AT1G48690,0,0,0,0,0,0,0,1
140,AT1G48745,0,0,1,0,0,0,0,0
141,AT1G49130,1,1,1,0,0,1,1,1
142,AT1G49200,0,1,1,1,0,1,1,1
143,AT1G49370,0,1,1,1,0,1,1,1
144,AT1G49470,0,0,0,1,0,0,1,0
145,AT1G49620,0,0,0,0,0,0,0,1
146,AT1G49640,0,0,0,1,0,1,0,0
147,AT1G50040,0,0,1,1,1,0,1,0
148,AT1G50280,0,0,1,1,0,1,1,1
149,AT1G50420,0,1,1,0,0,0,1,1
150,AT1G51170,0,0,0,0,0,0,1,0
151,AT1G51550,0,0,1,1,0,0,0,1
152,AT1G52100,0,0,0,0,1,0,0,0
153,AT1G52750,0,0,0,1,0,0,1,1
154,AT1G52820,0,0,0,1,0,0,0,0
155,AT1G52855,0,0,0,0,0,0,1,0
156,AT1G52880,0,1,1,1,0,0,1,1
157,AT1G52890,1,0,0,0,0,0,0,0
158,AT1G53160,0,0,0,1,0,0,0,0
159,AT1G53230,0,0,0,1,0,0,0,0
160,AT1G53233,0,0,0,0,0,0,0,1
161,AT1G53260,0,0,0,1,0,0,0,0
162,AT1G53340,0,0,0,0,0,0,1,0
163,AT1G53480,0,0,0,1,0,0,0,0
164,AT1G53510,0,0,0,0,0,0,1,0
165,AT1G53700,0,0,0,1,0,0,1,0
166,AT1G53708,1,0,0,0,0,0,0,1
167,AT1G53885,0,1,0,0,0,0,0,0
168,AT1G53903,0,1,0,0,0,0,0,0
169,AT1G56020,0,0,0,1,0,0,1,1
170,AT1G58150,0,0,0,0,0,0,0,1
171,AT1G58160,0,0,0,0,0,0,0,1
172,AT1G60060,0,0,0,0,0,0,1,0
173,AT1G60095,0,0,1,0,0,0,0,0
174,AT1G60460,0,1,0,0,0,0,0,0
175,AT1G60505,0,0,0,1,0,0,0,0
176,AT1G60525,0,0,1,1,0,0,0,1
177,AT1G60545,0,0,0,1,0,0,0,0
178,AT1G60590,0,1,1,1,0,0,1,0
179,AT1G61050,0,0,0,0,0,0,1,0
180,AT1G61740,0,0,1,0,0,0,1,0
181,AT1G61840,0,0,0,0,0,0,1,0
182,AT1G61930,0,0,0,0,0,0,0,1
183,AT1G62030,0,0,1,1,0,0,1,1
184,AT1G62050,0,0,0,0,0,0,1,0
185,AT1G62410,1,0,0,0,0,0,0,0
186,AT1G62490,0,0,1,0,0,0,0,0
187,AT1G62520,0,1,1,0,0,0,0,0
188,AT1G62680,0,0,0,1,0,0,1,0
189,AT1G62900,0,0,0,1,0,0,0,0
190,AT1G62975,0,1,0,0,0,0,0,1
191,AT1G63090,1,0,0,0,0,0,0,0
192,AT1G63140,0,0,0,1,0,0,0,0
193,AT1G63340,0,1,0,0,0,0,0,0
194,AT1G63600,0,1,0,0,0,0,0,0
195,AT1G64780,0,0,0,1,0,0,1,0
196,AT1G64910,0,0,0,0,0,0,1,0
197,AT1G65180,0,1,0,0,0,0,0,0
198,AT1G66140,0,0,0,1,0,0,1,0
199,AT1G66230,0,1,0,0,0,0,0,0
200,AT1G66783,0,0,0,1,0,0,0,0
201,AT1G67100,0,1,1,0,0,1,0,0
202,AT1G67265,0,1,1,1,0,0,1,1
203,AT1G67600,0,0,0,0,0,0,0,1
204,AT1G67645,0,0,0,0,0,0,1,0
205,AT1G67900,0,0,0,0,0,0,1,0
206,AT1G68110,0,0,0,0,0,0,1,0
207,AT1G68130,0,0,1,0,0,0,1,0
208,AT1G68190,0,1,0,0,0,0,1,0
209,AT1G68500,0,1,0,0,0,0,0,1
210,AT1G68520,1,1,1,1,0,1,1,1
211,AT1G68570,0,0,0,0,0,0,1,0
212,AT1G68710,0,0,0,0,0,0,1,0
213,AT1G68780,0,0,1,0,0,0,1,0
214,AT1G68795,0,0,0,1,0,0,0,0
